Library_ID,Tribe,Genus,Species,Name,Lineages_Koch_Al_Shehbaz,Lineages_Franzke_et_al,Lineages_Nikolov_et_al,[<institution-code>],Subsp_or_var,Registered as,[<collection-code>],biomaterial_provider,voucher,Collection_date,Collection_year,Collector,Identifier,Country,Location,Link to online reference,Type status
S0972,Euclidieae,Rhammatophyllum,afghanicum,Rhammatophyllum afghanicum,III,III,III,ZT,,,,Alessia Guggisberg,ZT-00162393,??/??/1962,1962,Rechinger,,Afghanistan,,,
S0972-2,Euclidieae,Rhammatophyllum,afghanicum,Rhammatophyllum afghanicum,III,III,III,ZT,,,,Alessia Guggisberg,ZT-00162393,??/??/1962,1962,Rechinger,,Afghanistan,,,
S0480,Euclidieae,Rhammatophyllum,erysimoides,Rhammatophyllum erysimoides,III,III,III,OSBU,,,,Barbara Neuffer,14784,tbd,,,,,,,
S1240,Euclidieae,Rhammatophyllum,gaudanense,Rhammatophyllum gaudanense,III,III,III,LE<RUS>,,,,Dmitry A. German,"Botschantzev , et al. 520",23503,1964,"V.P. Botschantzev , et al.",D.A. German,Turkmenistan,"Kopet-Dagh range, vicinities of Gaudan",,
S0479,Euclidieae,Rhammatophyllum,pseudoparrya,Rhammatophyllum pseudoparrya,III,III,III,OSBU,,,,Barbara Neuffer,15753,tbd,,,,,,,
S1085,Eudemeae,Xerodraba,patagonica,Xerodraba patagonica,II,exp.II,V,CONC,,,,"Oscar Toro, Alicia Marticorena",157120,??/02/2003,2003,Dominguez,,Chile,"Magallanes, Punta Arenas, Co Cerda De Monte Fen",,
S1085-2,Eudemeae,Xerodraba,patagonica,Xerodraba patagonica,II,exp.II,V,CONC,,,,"Oscar Toro, Alicia Marticorena",157120,??/02/2003,2003,Dominguez,,Chile,"Magallanes, Punta Arenas, Co Cerda De Monte Fen",,
S1560,Eudemeae,Xerodraba,patagonica,Xerodraba patagonica,II,exp.II,V,CONC,,,,"Oscar Toro, Alicia Marticorena",157120,??/02/2003,2003,Dominguez,,Chile,"Magallanes, Punta Arenas, Co Cerda De Monte Fen",,
S1107,Heliophileae,Heliophila,brachycarpa,Heliophila brachycarpa,II,exp.II,V,P,,,,Vanessa Invernon,P05445367,??/??/1847,1847,Zeyher,I. Al-Shehbaz,South Africa,Cape of Good Hope,,
S1107-2,Heliophileae,Heliophila,brachycarpa,Heliophila brachycarpa,II,exp.II,V,P,,,,Vanessa Invernon,P05445367,??/??/1847,1847,Zeyher,I. Al-Shehbaz,South Africa,Cape of Good Hope,,
S1283,Heliophileae,Heliophila,brachycarpa,Heliophila brachycarpa,II,exp.II,V,NBG,,,,"Pieter Winter, Shaun Pieterse (SANBI)",NBG1524063-0,unknown,,R.H. Compton,,South Africa,"Laingsburg, C. P. Karoo Garden, Whitehill",,
S1283-2,Heliophileae,Heliophila,brachycarpa,Heliophila brachycarpa,II,exp.II,V,NBG,,,,"Pieter Winter, Shaun Pieterse (SANBI)",NBG1524063-0,unknown,,R.H. Compton,,South Africa,"Laingsburg, C. P. Karoo Garden, Whitehill",,
S1589,Heliophileae,Heliophila,brachycarpa,Heliophila brachycarpa,II,exp.II,V,NBG,,,,"Pieter Winter, Shaun Pieterse (SANBI)",NBG1524063-0,,,R.H. Compton,,South Africa,"Laingsburg, C. P. Karoo Garden, Whitehill",,
S0481,Heliophileae,Heliophila,callosa,Heliophila callosa,II,exp.II,V,MO,,,MO,Ihsan Al-Shehbaz,2834441,tbd,,,,,,,
S0482,Heliophileae,Heliophila,carnosa,Heliophila carnosa,II,exp.II,V,(subsample box FredericL; source unknown),,,,,(KM2155),tbd,,,,,,,
